submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
05/03/2021,AR,336166,NA,NA,61,17,5747,NA,NA,4,0,05/04/2021 02:00:10 PM,Not agree,Not agree
03/10/2020,HI,2,NA,NA,0,0,0,NA,NA,0,NA,03/10/2020 12:00:00 AM,Not agree,Not agree
05/17/2020,IA,14651,NA,NA,323,0,351,NA,NA,5,0,05/18/2020 04:01:54 PM,Not agree,Not agree
11/04/2020,CO,117637,110284,7353,2928,61,2333,1935,398,22,2,11/05/2020 02:39:23 PM,Agree,Agree
04/01/2020,GA,4806,4804,2,570,0,154,NA,NA,24,NA,03/31/2020 12:22:39 PM,Agree,Agree
11/04/2020,TX,998267,NA,NA,9817,1753,19966,NA,NA,127,0,11/06/2020 12:00:00 AM,Not agree,Not agree
12/22/2020,PA,571749,518057,53692,7971,2088,14212,NA,NA,231,113,12/23/2020 02:36:58 PM,Agree,Not agree
01/11/2021,SD,103499,NA,NA,181,50,1585,1281,304,0,1,01/12/2021 02:48:35 PM,N/A,Agree
08/30/2020,TN,156574,152510,4064,574,41,1935,1856,79,16,2,08/30/2020 12:00:00 AM,Agree,Agree
03/31/2021,TN,815178,677372,137806,1114,234,11931,9591,2340,11,1,03/31/2021 12:00:00 AM,Agree,Agree
09/25/2020,NM,28487,NA,NA,263,0,865,NA,NA,4,0,09/27/2020 12:00:00 AM,N/A,Not agree
07/15/2020,NYC,223278,218111,5167,504,21,23117,18523,4594,16,2,07/13/2020 12:00:00 AM,Agree,Agree
09/19/2020,TN,184776,178364,6412,615,84,2405,2306,99,18,0,09/19/2020 12:00:00 AM,Agree,Agree
11/26/2020,UT,187731,187731,0,3829,0,849,831,18,15,-1,11/27/2020 03:07:59 PM,Agree,Agree
03/25/2020,SD,41,NA,NA,11,NA,1,NA,NA,0,NA,03/26/2020 04:22:39 PM,N/A,Agree
02/05/2021,PA,861954,747118,114836,4688,1925,22239,NA,NA,138,93,02/06/2021 04:05:17 PM,Agree,Not agree
11/26/2020,RMI,4,4,0,0,0,0,0,0,0,0,11/27/2020 03:07:59 PM,Agree,Agree
02/10/2020,CO,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
